bookchapter,out_degree,betweenness,eigen
"fain3, chapter-8",0.0,5.159156970479536e-46,5.159156970479536e-46
"ramamurthy, chapter-1",5.091126065445408e-07,3.4050436005164946e-44,3.4050436005164946e-44
"thomas, chapter-1",0.0,1.1071550858649084e-42,1.1071550858649084e-42
"mcnamara, chapter-4",0.0010951012166773072,7.421038983061692e-11,7.421038983061692e-11
"mcnamara, chapter-1",0.0015405747474037806,5.1056640257968935e-11,5.1056640257968935e-11
"mcnamara, chapter-2",0.002719170431554393,8.256859417671816e-11,8.256859417671816e-11
"hillard, chapter-9",0.0,3.365361593998789e-11,3.365361593998789e-11
"vos, chapter-2",0.011976874068960324,3.5301797859518134e-11,3.5301797859518134e-11
"mcnamara, chapter-3",9.724050785000728e-05,5.680736551263589e-11,5.680736551263589e-11
"mcnamara, chapter-5",5.600238671989948e-06,5.1056640257968935e-11,5.1056640257968935e-11
"mcnamara, chapter-6",0.0,3.5129599687473976e-11,3.5129599687473976e-11
"wong, chapter-4",0.0,5.159156970479536e-46,5.159156970479536e-46
"wong, chapter-2",0.0,3.806785930821228e-26,3.806785930821228e-26
"infante, chapter-6",0.0,1.903392965410614e-26,1.903392965410614e-26
"infante, chapter-7",0.0,6.376366434125559e-25,6.376366434125559e-25
"wittig4, chapter-8",0.0,1.903392965410614e-26,1.903392965410614e-26
"wittig4, chapter-9",0.0,6.376366434125559e-25,6.376366434125559e-25
"lane, chapter-2",0.0,1.903392965410614e-26,1.903392965410614e-26
"lane, chapter-11",5.091126065445408e-07,6.376366434125559e-25,6.376366434125559e-25
"lane, chapter-12",0.0,1.0535280063547752e-23,1.0535280063547752e-23
"robinson4, welcome",0.0,5.159156970479536e-46,5.159156970479536e-46
"robinson4, chapter-6",1.0182252130890815e-06,3.806785930821228e-26,3.806785930821228e-26
"robinson4, chapter-4",1.0182252130890815e-06,1.2372054275168986e-24,1.2372054275168986e-24
"robinson4, chapter-8",0.0,1.9833354699578602e-23,1.9833354699578602e-23
"borgatti, chapter-8",0.0,5.159156970479536e-46,5.159156970479536e-46
"borgatti, welcome",0.0011775774589375227,1.4960051529769776e-13,1.4960051529769776e-13
"lauret, chapter-8",0.0,1.903392965410614e-26,1.903392965410614e-26
"lauret, chapter-11",5.091126065445408e-07,6.376366434125559e-25,6.376366434125559e-25
