,user_id,number_of_ticks,date_created,chapter,book,numberofentriesofbook,numberofusersofbook,product_manning_id,user_owns_book,source,target,next_user,keep_edge
1,-2146355313,8," ""2019-12-14 10:05:50""",chapter-8,fain3,737,225,1069,1,"fain3, chapter-8","ramamurthy, chapter-1",-2146355313.0,1.0
2,-2146355313,8," ""2019-12-14 10:05:50""",chapter-1,ramamurthy,715,202,1120,1,"ramamurthy, chapter-1","thomas, chapter-1",-2146355313.0,1.0
29,-2145886989,10," ""2019-12-10 13:07:05""",chapter-4,mcnamara,2533,461,880,1,"mcnamara, chapter-4","mcnamara, chapter-4",-2145886989.0,1.0
32,-2145886989,10," ""2019-12-10 13:41:25""",chapter-4,mcnamara,2533,461,880,1,"mcnamara, chapter-4","mcnamara, chapter-1",-2145886989.0,1.0
7,-2145886989,1," ""2019-12-10 19:37:20""",chapter-1,mcnamara,2533,461,880,1,"mcnamara, chapter-1","mcnamara, chapter-1",-2145886989.0,1.0
8,-2145886989,5," ""2019-12-10 19:37:50""",chapter-1,mcnamara,2533,461,880,1,"mcnamara, chapter-1","mcnamara, chapter-1",-2145886989.0,1.0
11,-2145886989,12," ""2019-12-11 12:18:30""",chapter-1,mcnamara,2533,461,880,1,"mcnamara, chapter-1","mcnamara, chapter-1",-2145886989.0,1.0
9,-2145886989,1," ""2019-12-11 12:19:01""",chapter-1,mcnamara,2533,461,880,1,"mcnamara, chapter-1","mcnamara, chapter-1",-2145886989.0,1.0
10,-2145886989,1," ""2019-12-11 12:23:31""",chapter-1,mcnamara,2533,461,880,1,"mcnamara, chapter-1","mcnamara, chapter-1",-2145886989.0,1.0
12,-2145886989,1," ""2019-12-11 12:25:31""",chapter-1,mcnamara,2533,461,880,1,"mcnamara, chapter-1","mcnamara, chapter-2",-2145886989.0,1.0
13,-2145886989,30," ""2019-12-11 18:24:09""",chapter-2,mcnamara,2533,461,880,1,"mcnamara, chapter-2","hillard, chapter-9",-2145886989.0,1.0
5,-2145886989,1," ""2019-12-12 11:02:49""",chapter-9,hillard,1971,377,1085,0,"hillard, chapter-9","mcnamara, chapter-2",-2145886989.0,1.0
14,-2145886989,19," ""2019-12-12 12:20:44""",chapter-2,mcnamara,2533,461,880,1,"mcnamara, chapter-2","mcnamara, chapter-2",-2145886989.0,1.0
15,-2145886989,10," ""2019-12-12 13:42:16""",chapter-2,mcnamara,2533,461,880,1,"mcnamara, chapter-2","vos, chapter-2",-2145886989.0,1.0
6,-2145886989,1," ""2019-12-12 14:50:07""",chapter-2,vos,726,219,1121,0,"vos, chapter-2","mcnamara, chapter-2",-2145886989.0,1.0
16,-2145886989,41," ""2019-12-12 14:56:06""",chapter-2,mcnamara,2533,461,880,1,"mcnamara, chapter-2","mcnamara, chapter-2",-2145886989.0,1.0
17,-2145886989,20," ""2019-12-12 15:41:09""",chapter-2,mcnamara,2533,461,880,1,"mcnamara, chapter-2","mcnamara, chapter-2",-2145886989.0,1.0
18,-2145886989,3," ""2019-12-13 11:17:21""",chapter-2,mcnamara,2533,461,880,1,"mcnamara, chapter-2","mcnamara, chapter-3",-2145886989.0,1.0
19,-2145886989,4," ""2019-12-13 11:22:57""",chapter-3,mcnamara,2533,461,880,1,"mcnamara, chapter-3","mcnamara, chapter-3",-2145886989.0,1.0
20,-2145886989,12," ""2019-12-13 11:24:57""",chapter-3,mcnamara,2533,461,880,1,"mcnamara, chapter-3","mcnamara, chapter-3",-2145886989.0,1.0
21,-2145886989,27," ""2019-12-13 11:32:29""",chapter-3,mcnamara,2533,461,880,1,"mcnamara, chapter-3","mcnamara, chapter-3",-2145886989.0,1.0
22,-2145886989,18," ""2019-12-13 11:45:59""",chapter-3,mcnamara,2533,461,880,1,"mcnamara, chapter-3","mcnamara, chapter-3",-2145886989.0,1.0
23,-2145886989,32," ""2019-12-13 11:55:00""",chapter-3,mcnamara,2533,461,880,1,"mcnamara, chapter-3","mcnamara, chapter-3",-2145886989.0,1.0
24,-2145886989,30," ""2019-12-13 12:36:58""",chapter-3,mcnamara,2533,461,880,1,"mcnamara, chapter-3","mcnamara, chapter-3",-2145886989.0,1.0
25,-2145886989,50," ""2019-12-13 13:38:21""",chapter-3,mcnamara,2533,461,880,1,"mcnamara, chapter-3","mcnamara, chapter-3",-2145886989.0,1.0
